name,title,star,contents,date
지리와 함께하는 인문학 티타임,잘 들었습니다.,5점,다양한 구성이 듣기 좋았습니다.,2023.07.24
문학 속 지리 이야기,다양한 관점에서 문학 작품 바라보기,5점,"문학 속 지리 이야기를 들으며 장마와 불볕더위를 잠시 잊었네요.
지리 뿐 아니라 인종 차별, 아동 노동, 직업의 변화, 노동 문제, 도시 빈민 문제 등 다양한 사회 문제를 생각해 보며 문학 작품을 깊이 있게 이해할 수 있는 시간이었습니다. 문학과 현실의 관계를 이해하는 수업에서 문학 작품을 통해 당대 현실을 파악할 수 있는 수업 자료로 활용하면 좋겠다는 생각을 했습니다. 또한 작품에 드러난 사회 문제를 오늘날 어떻게 바라볼 것인지, 또한 현재까지 지속되는 문제라면 이를 어떻게 해결할 것인지 질문을 던지는 연수였습니다.",2023.07.22
"행복한 학급 만들기, 학생과 교사 자존감 수업",자존감 수업,5점,"학생의 자존감을 키원주는 수업 방법도 좋았지만, 교사의 자존감을 강하게 하는 방법을 알게 된 점도 좋았습니다.",2023.07.22
과학 세상을 말하다 (과학이 필요한 시간),과학이 필요한 시간,5점,바쁜 생활 중에 잠시 휴식의 시간같은 연수였습니다.,2023.07.22
수업이 즐거워지는 과학 교과서 활용 꿀팁 (초등 3~4학년),감사한 마음입니다.,5점,"함께 고민을 나누어 주신 그리고 함께
과학 수업을 진지하게 생각할 수 있는 기회를
주신 선생님들께 감사한 마음입니다.
2학기 수업을 여름 방학에 진지하개 준비하여야겠네요~",2023.07.22
메이슨의 Travel English,여행,4점,여행가고싶은 마음에 영어공부 먼저,2023.07.21
"행복한 학급 만들기, 학생과 교사 자존감 수업",교사와 학생을 위한,4점,교사와 학생이 모두 행복한 교실을 위해,2023.07.21
손그림과 파워포인트로 교실 속 콘텐츠 만들기,손그림과 파포,4점,콘텐츠 만들기에 쉽게 접근 할 수있어요,2023.07.21
그림검사와 다양한 기법으로 만나는 미술치료,그림으로 생활지도,4점,그림을 통해 다양한 활동도 하고 생활지도에도 활용할 수 있어요,2023.07.21
'척' 하면 '딱' 붙는 대입 진학지도,고3자녀,4점,고3 자녀를 위해 들었어요 몰랐던 내용을 많이 배웠어요,2023.07.21
당장 따라 할 수 있는 사계절 학급운영+이벤트,이벤트,5점,다양한 이벤트로 즐겁게 학급운영을 할 수있어요,2023.07.21
"이구동성, 마음을 다루는 미술활동",다양한 미술활동,4점,쉽고 재미있는 여러가지 미술활동을 배울수있어요,2023.07.21
수업을 살리는 체육 레시피,즐거운 체육수업,5점,체육시간에 잘 활용할 수 있어 좋아요,2023.07.21
초등학생 탐구생활,공감,4점,학생들의 마음을 들여다볼수 있는 계기가 되었네요,2023.07.21
수업을 살리는 놀이 레시피,실전에 활용할 수 있는,5점,실전에 활용할 수 있는 유익한 연수였습니다~,2023.07.21
같이 읽고 함께 나누는 독서수업방법,독서의 즐거움,5점,아이들에게 독서의 즐거움을 알려줄 수 있는 독서수업방법을 알려주는 좋은 연수였습니다.,2023.07.20
수업을 살리는 체육 레시피,체육시간에 뭐할지 생각 안 날 때 잘 활용할 것 같아요,5점,"올해 체육온 동아리를 운영하게 되어 아이들에게 다양한 활동을 소개하기 위해 연수를 신청하였습니다.

저학년 학생들이라서 기능 위주의 체육 활동이 아닌 놀이 위주의 체육활동을 선호하는데

연수를 통해서 다양한 게임들을 알게 되어서 잘 활용 할 것 같습니다.

특히 교실체육에서 활용할 수 있는 활동들이 많이 소개되어 장소에 구애받지 않고 언제든 체육활동을 할 수 있을 것 같습니다.

3~6학년 대상 활동이 많았는데 조금만 수정하면 저학년도 충분히 재미있게 할 수 있어요

체육 연수도 30시간 이수하도록 되어 있던데 이 연수 추천합니다.

한 선생님이 전체 강의를 해주는 수업도 들어봤는데 전달력은 이 연수가 더 좋은 것 같습니다. (타 연수는 왠지 해당 선생님의 교구를 사야할 것 같은 기분이 들더라구요)",2023.07.19
교사를 위한 교실 밖 여행인문학,지역을 소개하는 재미있은 인문여행,5점,지역 음식 위주의 강의가 맛깔스러웠으며 지리 정보를 소개할 때 동영상 자료를 제시했으면 좋겠습니다.,2023.07.19
메이슨의 Travel English,유익한 연수입니다만...,4점,이제 막 연수를 시작하면서 많이 불편한 점이 딱 한 가지가 있어 미리 후기에 올립니다. 다른 연수도 아닌 언어연수라서 출퇴근하면서 더 열심히 공부하려고 했더니! pc로만 수강 가능하네요ㅠㅠ 서울시교육연수원 연수도 모바일 연수 가능합니다. 티셀파 연수인데... 하루 빨리 모바일 강의도 가능하게 부탁드립니다.,2023.07.19
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,노션 좋아요ㅏ!,5점,요즘 노션이 핫해서 궁금해쓴ㄴ데 잘 들어씃ㅂ니다.,2023.07.18
쉽게 시작할 수 있는 노션과 ZOOM 활용 꿀팁!,실제 수업에 활용할 수 있는 좋은 연수,5점,실제 학교 생활에서 유익하게 사용할 수 있는 것들을 배워보는 좋은 연수였습니다.,2023.07.18
학생들과 함께 나누는 기후변화 이야기,요즘 트렌드,5점,요즘 트렌드인 탄소중립 교육 활동에 대해 생각해보는 계기가 되었습니다.,2023.07.18
세상에서 제일 쉬운 과학 이야기,여러 과학 이야기,5점,여러 과학 이야기를 한번에 들을 수 있어서 좋아요.,2023.07.18
학생들과 함께 나누는 기후변화 이야기,환경과 관련된 기후변화 이야기,5점,기후위기에 대해 심각성을 인지하고 변화에 대해 알아볼 수 있는 좋은 연수였습니다.,2023.07.18
세상에서 제일 쉬운 과학 이야기,과학을 쉽게 배웠습니다.,5점,과학에 대해서 막연히 어렵게 생각할 수 있는 부분을 쉽게 배워보는 좋은 기회였습니다.,2023.07.18
초등학생 탐구생활,도움이 되었어요!,5점,학생들을 이해하는데 많은 도움이 되었습니다.,2023.07.18
메이슨의 Travel English,쉽게 배워보았습니다.,5점,재미있고 쉬운 영어를 배워보았습니다.,2023.07.18
메이슨의 Travel English,여행 대비 연수!,5점,여행을 대비해서 들었는데 많은 도움이 되었습니다.,2023.07.18
세상에서 제일 쉬운 과학 이야기,재미있는 강의였습니다.,5점,"고등학교 때 공부하고 더이상 보지 않았던, 다양한 과학의 내용들을 접할 수 있어서 좋았습니다.",2023.07.18
실패 없는 과학 교과서 실험 (3~4학년 1학기),우수한 과학 실험 컨텐츠 교육,5점,다양한 학생들의 과학적 사고력을 길러주고 수업시간 다양한 탐구활동을 통해 학생들의 호기심을 향상시켜주는 우수한 연수인듯 합니다. 앞으로도 열심히 공부하여 많은 지도가 될 수 있도록 하겠습니다.,2023.07.18
저자가 알려주는 수학 교과서 100% 활용하기 (초등 3~4학년),당장 사용할수 있는 꼭 필요한 연수,5점,교과서 사용법을 알게되어 당장 시급히 필요한 연수입니다.,2023.07.16
스토리텔링을 활용한 초등수학 수업,알차고 좋아요,5점,평소 궁금했던 내용들을 잘 알 수 있어서 너무 좋았어요,2023.07.16
성호쌤과 함께하는 랜선 박물관 여행,사회 수업할때 좋을 것 같습니다.,5점,박물관을 좀 더 자세하게 알아봄으로써 사회 수업이 더욱 재미있었 질 것 같네요.,2023.07.14
"하루 20분, 컬쳐 리스닝 픽업",반복 듣기,4점,한 번에 알아듣기는 힘들지만 여러 번 들으니 재미있어요.,2023.07.13
"하루 20분, 상황별 생활영어회화",생활영어 추천,5점,생활에서 사용 가능한 영어 회화를 연수로 배울 수 있었습니다. 다른 상황별 생활영어로 시즌2도 나왔으면 좋겠어요.,2023.07.13
디바 제시카의 왕초보 영어 따라잡기,영어 초보들을 위한 연수,5점,말그대로 영어 초보입니다. 좀 더 쉽게 영어 공부를 시작할 수 있어서 좋았어요.,2023.07.13
English Grammar in Use,영어실력 향상에 필수!,5점,문법을 배우면서 영어 공부를 하니 한결 도움이 많이 됩니다.,2023.07.13
English Grammar in Use 2,문법 제대로 알기,5점,영어를 잘하고 싶어서 문법도 열심히 배우고 있습니다. 자주 사용되는 중요 문법을 다시 공부할 수 있는 기회가 되었어요.,2023.07.13
손그림과 파워포인트로 교실 속 콘텐츠 만들기,또 배워 갑니다.,5점,"유용하게 지식도 전달 받고,
알게 된 지식을 수업에 적용하고,
이렇게 좋을 수가 없네요~!",2023.07.13
초등 저학년 남학생 탐구생활,저학년 5년차에게도 필요한 연수,5점,"저학년만 5년차 맡고 있는 교사입니다.

저학년들과 5년이나 함께 했지만 아직도 남자 아이들의 마음과 생활태도, 학습태도는 저를 좌절하게 합니다.


이 연수를 듣고, 남자아이들에 대해 조금이나마 이해할 수 있었습니다.

이제는 생물학적 차이, 사회적으로 대하는 태도 등 여러 가지 측면에서 아이들을 이해하고, 조금은 남자아이들의 특성에 맞게 대할 수 있을 것 같습니다.

강사님께서 권해주신 책도 다시 읽어보며, 남자아이들에게 한 발 먼저 다가가 보겠습니다.

좋은 연수 정말 감사합니다.",2023.07.11
손그림과 파워포인트로 교실 속 콘텐츠 만들기,즐거운 연수였습니다.,5점,"손그림의 매력을 알게 되어서 펜을 쥐는 시간이 많아질 것 같습니다.
파워포인트도 알지 못했던 기능들이 너무 무궁무진(?)해서 앞으로 좀 더 공부해보고 활용해봐야겠습니다.
재미있고 쉽게 설명해주시어 유익한 연수였습니다. 감사합니다.",2023.07.10
"조물조물 뚝딱뚝딱, 놀이처럼 즐거운 STEAM 공작소",실전 수업 바로 적용 가능 (창체부터 영재까지),5점,"유아부터 초등까지 기본 과학실험부터 영재실험까지 폭넓게 적용이 가능해요.
실제적으로 수업에 적용가능한 스팀 활동이라 너무 만족스럽습니다.
감사합니다.",2023.07.09
기후변화 이야기,쉽게 쉽게 이렇게 쉽고 재미있게 기후변화에 대한 연수를 들었어요^^,5점,"기후에 대한 관심이 높아 올해 수업혁신 연구대회에 생태감수성을 키우는 연구를 하고 있는 교사로써 너무 흥미롭고 재미있게 연수를 들었습니다.
옛날 이야기를 해 주시는 할머니 옆에서 군고구마 먹으면서 들었던 것 처럼 어렵고 난해한 단어들 보다는 쉽고 이해하기 쉬운 단어로 풀어주는 강사님의 맛깔스런 연수는 딱딱하고 지루한 연수가 아닌
저의 생태 감수성을 높혀주는 계기가 되었습니다.
왜 항상 빨강 니트웨어만을 입고 강의를 하시지?에 대한 의문도 마지막 강의에서 알게되었구요 본인의 냉장고 없이 사시는 생활을 들려주셨는데 저역시 공감하는 부분이라 이사를 앞둔 저로서는 도전의식을 한껏 키워 주시기도 했어요^^ 편리한 세상에서 조금의 불편도 감수하지 않으려는 우리 인간들에게 일침을 가하기도 하셨구요
기후위기 이제는 남의 이야기가 아닌 나와 우리의 삶이고 나의 삶임을 자각하고 내 삶에서 기후에 해로운 것을 하나하나 살펴가며 불편을 감수하며 살아가도록 해 보겠습니다. 너무 유익했습니다. 감사합니다.",2023.07.08
"나이와 신분을 초월한 독립운동, 그 현장을 읽다",우리 민족의 아픈 역사,5점,우리 민족의 아픈 역사를 깊이 알 수 있었으며 나이와 신분을 초월한 독립운동으로 오늘의 우리 대한민국이 존재함을 깨달을 수 있었습니다. 유익한 연수였습니다.,2023.07.05
성호쌤과 함께하는 랜선 박물관 여행,박물관 여행 연수 후기,5점,"박물관이 이렇게 많이 있는 줄 몰랐습니다.
박물관에 대해 자세히 알 수 있어서 좋았습니다.
방학과 주말을 이용해서 주변 박물관부터 직접 가서 느껴보고
전시품들의 의미를 다시 한번 새기고 싶습니니다.
감사합니다.",2023.07.05
손그림과 파워포인트로 교실 속 콘텐츠 만들기,"아날로그와 디지털의 조화, 콘텐츠 만들기 필요하신 분에게 추천",5점,"요새 많은 부분이 컴퓨터로 이루어지고 있지만 한 번씩 부족하거나 손으로 꼭 해야할 것들이 있었습니다

그런데 그림 그리는 실력이 없어서 아쉬웠는데 본 연수를 보고 같이해보니 손그림실력이 어느새 늘어있어서 자신감이 붙을 수 있었습니다

그리고 파워포인트로 여러가지 콘텐츠를 만들고 자료까지 얻어서 교실에 활용이 가능했습니다

주어진 콘텐츠만 활용하는 경우가 많지만 내가 필요한 콘텐츠를 간단하게라도 필요할때 사용하고 싶은 선생님들에게 추천드립니다~",2023.07.05
그림검사와 다양한 기법으로 만나는 미술치료,예술을 통한 치유의,5점,"이 연수를 통해 미술치료의 효과에 대한 깊은 이해와 경험을 얻을 수 있었습니다. 미술을 통한 자기 표현과 창조는 심리적인 안정과 자아 성장을 도모하는 데 큰 도움이 된다는 것을 깨달았습니다.
나 자신과 타인에 대한 이해를 높이고, 예술을 통한 치유의 힘을 깨닫는 데 큰 도움을 주었습니다. 좋은 연수를 열어 주셔서 감사합니다^^",2023.07.04
학생들과 함께 나누는 기후변화 이야기,탄소 발자국을 줄이기 위해 우리 모두의 협력이 절실한 때,5점,"해마다 기상 이변으로 전세계가 몸살을 앓고 환경 보호에 대하여 모두가 각성을 하는 시기입니다. 6월에 유독 많은 환경 관련 기념일들을 앞두고 학교에서 환경 교육 주간을 운영하기 전에 환경 관련 연수를 찾아보게 되었습니다. 그동안 접했던 환경 관련 연수들 가운데 가장 과학적인 지식을 배경으로 한 연수인 것 같습니다. 지구의 환경과 관련하여 이렇게 다양한 변수와 싸이클들이 같이 연관이 되어 있고 여러 나라들의 경제와 정치, 입장들이 다 달라 서로가 환경보다는 자국의 이익을 우선 시하는 작금의 상황에서는 환경 교육은 수박 겉핥기 식이 될 수 밖에 없어 걱정이 됩니다. 학생들과 탄소발자국을 줄이기위해 오늘도 전등 하나 끄기, 분리수거 잘하기, 물병 가지고 다니기, 잔반 안남기기 등을 생활 속에서 실천하고 있습니다. 우리가 살아갈 터전인 지구에 대한 관심을 연수를 통해서 모두가 향상시켰으면 합니다. 냉장고도 없이 수년 째 살고 있다는 강사님의 강의가 더 현실적으로 와닿은 의미있는 연수였습니다.",2023.07.03
7인의 전문의와 함께하는 메디컬 콘서트,분야별 전문의들의 상담같은 연수로 건강상식을 높이자,5점,자신의 건강을 자신하는 이는 없을 것입니다. 늘 건강에 관심은 있어 여러 가지 영양제를 챙겨서 먹고는 있지만 운동도 식단도 꾸준히 하는 것은 참 힘이 듭니다. 건강과 관련된 강좌를 연수로 챙겨듣는 것은 이 연수가 처음인데 그동안 막연하게 알고 있던 건강 지식들 중 잘못알고 있는 것들이 꽤 있어서 연수를 챙겨듣기를 잘 했다는 생각이 들었습니다. 건강에 관심이 있지만 제대로 된 건강 상식을 알고 있는지 궁금한 분들이라면 각분야의 전문의들의 속시원한 상담같은 쉬운 설명의 이 연수를 추천하고 싶습니다. 건강은 건강할 때 천천히 챙기는 지혜가 필요합니다.몸이 신호를 보내는 때는 이미 치료 늦은 때일 수도 있다고 합니다.,2023.07.03
정훈쌤의 뚝딱 칼림바,칼림바의 기초를 잡는 연수,5점,"15차시의 1학점 연수라 부담없이 들을 수 있어 더 매력적인 연수인 것 같다. 코로나 상황에서 학급에서 음악시간에 활용하기 좋다고 칼림바 악기를 추천받았는데 전혀 칼림바에 대해 아는 것도 없이 학급운영비로 칼림바를 여러 개 구입을 턱 해놓고 정작 교사인 내가 칼림바에 대해 아는 바가 없어 활용을 못하고 있었다. 1학점의 악기연수라 강좌를 통해 기초 이론 이수를 하고 연습은 교실에 사놓은 악기로 하려고 연수신청을 했다. 사실 악기와 악보까지 제공이 되는 것은 택배 발송 문자를 보고 뒤늦게 알았다. 1학점 연수에 악기, 악보까지 제공되는 것에 깜짝 놀랄 수 밖에 없었다. 칼림바란 악기에 대해 잘 알게 되었다. 악기는 기능이라 내가 시간과 노력을 들여 악기와 합을 맞추는 만큼 매끄럽게 연주가 되는 것 같다. 아직은 쉬운곡들만 연주할 수 있는 수준이지만 칼림바의 기초를 이수하게 된 좋은 연수다. 손을 많이 쓰는 것이 좋은 초등학생들에게 연주법도 쉽고 간단하니 적당한 악기인 것 같다. 학생들과 열심히 음악수업에 활용해봐야겠다. 칼림바가 없는 사람도 악기까지 제공해주니 신청하여 많이 들으면 좋을 것 같다.",2023.07.03
같이 읽고 함께 나누는 독서수업방법,학생들의 독서력 향상의 지름길,5점,<같이 읽고 함께 나누는 독서 수업 방법>연수는 막연한 불안함으로 안개 속을 헤매던 저에게 구세주와 같은 연수입니다. 근무하는 학교가 올해 독서연구학교로 지정이 되어 학생들과 책관련 이벤트와 수업을 지속적으로 운영해야하고 오랜만에 저학년 담임을 맡게되어 부담이 컸었습니다. 학생들과 독서 관련된 특화된 프로그램이나 노하우도 없고 독서관련 수업은 온책읽기를 교과서대로 운영해본 것이 전부라 연구학교 계획서를 받아들고 막막한 마음이 들었는데 책을 읽고 질문을 공유하고 의견을 나누는 활동으로 주된 수업을 이끌어가야하는 틀이라 교사의 지도력이 중요할 것 같아 여러 교원연수원의 독서 관련 연수들을 샅샅이 살펴보다가 보물같이 이 연수를 발견하고 너무 반가웠습니다. 독서수업을 전문적으로 하시는 여러 선생님들을 모시고 깊이있는 질문과 답변으로 진행되는 방식이 좋았습니다. 질문도 깊이있고 자신들의 노하우를 아낌없이 나누어주시는 독서지도 전문가선생님들의 답변도 많은 도움이 되었습니다. 각 강좌 끝에 추천해주는 책목록도 참 좋았습니다. 학생들에게 읽어줄 책을 선정하는데 도움이 되었습니다. 방학동안 1강부터 30강까지 차분히 다시 복습을 할 계획입니다. 원격연수가 이렇게 알차게 프로그램이 구성된 것은 드문데 꼭 맞는 연수를 찾아 듣게되어 많은 도움이 되었습니다. 동학년 선생님들과 주변 선생님들께도 열심히 홍보를 하고 있습니다. 온책읽기 수업이나 독서 수업에 관심이 있는 선생님이시라면 적극 추천합니다.,2023.07.03
메이슨의 패턴잉글리쉬,유익해요!,5점,"영어 문장을 말하고자 할 때
쉽게 떠오르지 않아 말문이 막힐 때가 많았는데
패턴을 읽혀 쉽게 대화할 수 있을 것 같아요!",2023.07.03
세상에서 제일 쉬운 과학 이야기,수업에 응용할 수 있는 과학자들의 이야기들이 담겨 있어서 유용한 연수였다,5점,"수업에서 이론을 가르칠 때 부가해 줄 수 있는 과학자들의 뒷이야기들이 담겨 있어서 좋은 연수였다.
그러나 30강이라는 게 조금은 부담이 되긴 하였다. 다음엔 15강씩 두개로 나누어 주었으면 좋겠다.
15강 정도를 한번에 스토리텔링 하시는 교수님이 존경스러웠다.",2023.07.01
독립운동 현장읽기 - 의병전쟁,의병전쟁 연수 완전 강추입니다.,5점,독립운동 현장읽기-구국계몽운동 연수와 더불어 당연히 알아야 할 것에 대한 연수. 모두 알고 있는듯 하지만 사실 온전히 알지 못하는 내용. 티셀파에서 무료로 연수를 듣게 해줘서 정말 좋았어요. 그래서 주변 샘들에게도 널리널리 알렸던 연수 입니다. 교사부터 알아야 아이들에게도 제대로 알려줄 수 있으니 거룩한 의무감을 느낍니다.,2023.06.30
독립운동 현장읽기 - 구국계몽운동,주변 샘들에게 권하고 싶은 연수,5점,당연히 알아야 할 것에 대한 연수. 모두 알고 있는듯 하지만 사실 온전히 알지 못하는 내용. 티셀파에서 무료로 연수를 듣게 해줘서 정말 좋았어요. 그래서 주변 샘들에게도 널리널리 알렸던 연수 입니다. 교사부터 알아야 아이들에게도 제대로 알려줄 수 있으니 거룩한 의무감을 느낍니다.,2023.06.30
2022학년도 입시전략 특강 - 대학진학은 전략싸움이다!,입시전략 특강!!!,4점,나만 너무나 모르는 입시 전략! 잘 들었어도 잘 모르겠다는.... 시간이 많이 필요할 듯 합니다. 자율연수로 들어서 참 다행입니다.,2023.06.30
"조물조물 뚝딱뚝딱, 놀이처럼 즐거운 STEAM 공작소",좋은연수!! 모두들 함께 들어요.,5점,학교에서 놀이처럼 할 수 있는 정말 조물조물 뚝딱뚝딱 만들기 입니다. 어렵지도 않고 준비물도 쉽게 구할 수 있어서 몰라서 만들지 못했던 시간이 아쉽네요. 모두들 즐거운 자율시간을 교실에서 만들기 바라요~~,2023.06.30
초등학생 탐구생활,울 꼬맹이들의 마음 읽기,4점,정말 쉽지 않습니다. 울 꼬맹이들 마음을 어떻게 하면 사로 잡을 수 있을까 늘 고민중입니다. 아주 잠시 잡았다 싶다가도 돌아서면 제자리... 아이들의 마음을 잡기전 제 마음부터 잡고 싶습니다. 실망하지 않도록!!!,2023.06.30
'척' 하면 '딱' 붙는 대입 진학지도,이게 도움이 되길 바라며....,3점,아이들이 진학을 하도록 돕는 연수라 들었는데... 매번 느끼는것은 아이들이 먼저 움직이지 않으면 큰도움을 못주는 입장인것 같아 늘 아쉬움이 남습니다. 교사와 학생 호흡을 맞추는게 참 어려운 일인듯 싶어 주고 싶어도 줄 수 없는 마음에 안타까움이 더했습니다.,2023.06.30
정훈쌤의 뚝딱 칼림바,너무나 유익한 연수였어요.,5점,"너무 아름다운 소리가 나는 악기이고 다들 금새 배울 수 있다기에 도전했어요. 그렇지만 생각보다 시간을 많이 요하는 악기예요. 너무 쉽다고만 생각하지않고 방학중에 진득하게 마음먹고 연습하면 내가 연주하는 악기가 한가지 늘어나는 거죠. 연수는 마쳤지만 진짜 시작은 지금부터입니다. 방학중에 열심히 연습할거예요. 연수 도전할 수 있도록 악보며, 악기며 모두 지원해주신 강사님과 티셀파에 감사합니당~~~",2023.06.30
수업을 살리는 놀이 레시피,교실이 즐거워지는 놀이,5점,놀이방법에 대해 많이 알지 못하여 고민하던 터에 많은 도움이 됩니다. 교실이 즐거워지는 놀이 수업 방법 적극 추천합니다.,2023.06.29
온작품 읽기와 그림을 활용한 깊이 있는 수업,한권의 책으로 하는 수업 감동적이었습니다.,5점,한 권의 책으로 하는 수업 감동적이었습니다. 감사합니다.,2023.06.29
왕초보를 위한 캘리그래피,재미있게 잘 배웠어요,5점,"저도 오랫만에 따라하면서 재미있게 연수를 들었던 것 같아요. 나만의 글씨도 따로 연습해 보면서..정말 유익한 연수였어요. 학생들과 미술시간에 그냥 드로잉 붓펜을 이용해서 다양한 엽서라던가 부채 꾸미기도 해보고 싶고, 여러가지를 같이 해보고 싶다는 생각이 부쩍 들었습니다.",2023.06.28
메이슨의 Travel English,좋아요,5점,"여행 영어 정말 필요했는데 유익하고 즐거운 연수였습니다.
영어 관련 연수를 많이 늘려주셨으면 좋겠습니다^^
티셀파 아주 잘 이용합니다~~~ 늘 응원합니다~~!",2023.06.28
"행복한 학급 만들기, 학생과 교사 자존감 수업",행복한 교사가 행복한 학교를 만든다.,4점,"4차산업혁명의 시대가 미래시점이 아니라 현재진행형으로 느껴지는 지금, 그 어느 곳보다 급변하는 현장이 바로 교육현장 학교가 아닌가 한다. 빅데이타의 범람과 다양한 소셜미디어 도구의 발달은 정보의 양과 질에 있어서 비약적인 발전을 가져오고 있다. 이런 상황에서 교사의 역할은 무엇일까? 교사를 통하지 않고도 지식의 전달은 더 빠르고 방대하게 이뤄지고 있고 체계화 된 학 교내 여러 상황들이 교사를 시스템 안에서 작동하는 하나의 도구로 전락 시키고 있다는 위기감도 느껴진다.
이런 시점에 이번 연수는 이런 고민이 많은 현장의 선생님들도 느끼는 공통의 고민이며 이미 많은 동료 선생님과 선배 선생님들이 유사한 질문에 나름의 해결책을 갖고 다양한 시도를 했다는 것을 알게 되어 위로를 받고 동시에 자극이 되기도 하였다.
우선 행복한 학교는 교사의 자존감을 회복한 행복한 교사로부터 출발한다는 전제에 깊이 공감한다. 이를 회복하기 위해서는 개인적인 노력도 중요하지만 학습 공동체를 구성한 보다 조직적이고 실천적인 도전이 필요하다는 데 동의한다. 일반적으로 교사들은 감정을 통제하는 일에 익숙하여 부정적 감정에 대한 대응이 탄력적이지 못하고 오히려 마음이 병이 되는 경우도 많다. 때문에 자신의 감정에 응답하라는 강의는 특히 마음에 와 닿았다. 교육 뿐 아니라 삶의 태도에 있어 스스로를 살펴보고 필요한 대응으로 건강한 마음을 다져가는 것이 교사로서 매우 중요하다는 생각이 정리되는 유익한 연수였다.",2023.06.28
지리와 함께하는 인문학 티타임,알차고 재미있는 강의,5점,강의 내용이 알차고 재미있어서 연수듣는 시간이 지루하지 않고 금방금방 지나갔어요. 내용도 유익했어요...,2023.06.28
